hash,from,to,value,asset,blockNum
0x5c504ed432cb51138bcf09aa5e8a410dd4a1e204ef84bfed1be16dfba1b22060,0xa1e4380a3b1f749673e270229993ee55f35663b4,0x5df9b87991262f6ba471f09758cde1c0fc1de734,3.1337e-32,ETH,0xb443
0x19f1df2c7ee6b464720ad28e903aeda1a5ad8780afc22f0b960827bd4fcf656d,0xbd08e0cddec097db7901ea819a3d1fd9de8951a2,0x5c12a8e43faf884521c2454f39560e6c265a68c8,1.9899999999999997e-17,ETH,0xb459
0x9e6e19637bb625a8ff3d052b7c2fe57dc78c55a15d258d77c43d5a9c160b0384,0x63ac545c991243fa18aec41d4f6f598e555015dc,0xc93f2250589a6563f5359051c1ea25746549f0d8,5.999895e-16,ETH,0xb45a
0xcb9378977089c773c074045b20ede2cdcc3a6ff562f4e64b51b20c5205234525,0x037dd056e7fdbd641db5b6bea2a8780a83fae180,0x7e7ec15a5944e978257ddae0008c2f2ece0a6090,1e-16,ETH,0xb472
0x570ce19176bd0002b04a9179309129bbdaf0c4252ffeb76aedbb038cdf662850,0x3f2f381491797cc5c0d48296c14fd0cd00cdfa2d,0x4bd5f0ee173c81d42765154865ee69361b6ad189,8.039895000000001e-16,ETH,0xb47d
0xe17d4d0c4596ea7d5166ad5da600a6fdc49e26e0680135a2f7300eedfd0d8314,0xa1e4380a3b1f749673e270229993ee55f35663b4,0xc9d4035f4a9226d50f79b73aafb5d874a1b6537e,3.1337e-32,ETH,0xb486
0xe891897177614c91284b6929dc2ada5a87705c4729bda2d5eeae47ea2ca9d175,0xa1e4380a3b1f749673e270229993ee55f35663b4,0x5df9b87991262f6ba471f09758cde1c0fc1de734,3.1337e-32,ETH,0xb48b
0x35d4f3dae18d72a0d4caf02359ca1844687ff879a2655bdec5c33c9b0f65f795,0xf0cf0af5bd7d8a3a1cad12a30b097265d49f255d,0xb608771949021d2f2f1c9c5afb980ad8bcda3985,1e-16,ETH,0xb48c
0x41738785c4330ce9531aed26b21b9cfba6f27b9183d11355f4d9522211c2a44e,0x1c68a66138783a63c98cc675a9ec77af4598d35e,0xc8ebccc5f5689fa8659d83713341e5ad19349448,5e-17,ETH,0xb496
0x80f31704782a53514ab0693499f78922169885a16fd4821d42a4a820d2452799,0xfd2605a2bf58fdbb90db1da55df61628b47f9e8c,0x073f70b5bfade6409e4951ef72bc8f4157677729,1.0000000000000001e-20,ETH,0xb49b
0x3a1be2710cc4c46adaf85bdfd42fa80b0f2044b3d976ee57de845981ae5a2430,0xbbed46565f5aa9af9539f543067821fa4b565438,0xbf8d8b4ec992203984f7379b001e87e6943dd5e3,4.406636741121e-24,ETH,0xb49d
0xc0c1c720bc5b3583ad3a4075730b44c0c120a0fe660e51817f8c857bf37dbec0,0x8ce4949d8a16542d423c17984e6739fa72ceb177,0x15e34a8324164ef0890471f6f527451f7a22cf12,1e-16,ETH,0xb49f
0x04ff148add6a0b71ba11ff0813e376c0bf12a23bc9b984b9fdac33f3ad85121d,0x136d4b662bbd1080cfe4445b0fa213864435b7f1,0xc8ebccc5f5689fa8659d83713341e5ad19349448,1e-15,ETH,0xb4a0
0x8e2ba7d83962ec633eab45afa77f37d72ecdfb40d968afd276c4320ad03a48a1,0x4d9279962029a8bd45639737e98b511eff074c21,0x99c236141daec837ece04fdaee1d90cf8bbdc104,1e-18,ETH,0xb4a2
0xe063d3191ade43913d74ede2b6e056bf0aeaa216f79de10a62edea76290f38f6,0x8ce4949d8a16542d423c17984e6739fa72ceb177,0x15e34a8324164ef0890471f6f527451f7a22cf12,1e-16,ETH,0xb4a5
0x8514ce8f269e2745264a5d3529b7dea51538304a7e70871fe800ca4872d9d83c,0x136d4b662bbd1080cfe4445b0fa213864435b7f1,0xc8ebccc5f5689fa8659d83713341e5ad19349448,2e-15,ETH,0xb4a6
0x53b783a7552bae97fe01be2ec11d3d9f4344309b596954972f731384b38b5343,0x03b35d960c861fe987c50380d76db9d6ae1fa510,0xb83b76f35cf6b2149b34ee092b3fc93b7bb54a8d,5e-19,ETH,0xb4a7
0x3811e0631ee580a60359958bf47fc9c61a8558c7ce7b8e0fff8f2ee01abc7a30,0x4d9279962029a8bd45639737e98b511eff074c21,0xd65f9b9aa7becfd1481bdd7e22527ca0900b7bc8,1e-16,ETH,0xb4aa
